名稱,郵遞區號,地址,相對位置,營業時間,座標x,座標y,儲格數,櫃型,備註,付費方式
雲林科技大學ｉ郵箱,64000,雲林縣斗六市大學路3段123號,員生餐廳門口左側,24小時,120.535710,23.690596,40,三代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
崙背郵局ｉ郵箱,63700,雲林縣崙背鄉民主路5號,大門左側,24小時,120.352901,23.759533,40,三代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
左鎮郵局ｉ郵箱,71300,臺南市左鎮區中正里15-3號,入口左側,24小時,120.406123,23.058094,40,三代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
成功大學太子學舍ｉ郵箱,70100,臺南市東區勝利路116號,出入口左側,24小時,120.218456,22.994756,40,三代櫃,(停止營運)(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
高雄大學郵局ｉ郵箱,81100,高雄市楠梓區高雄大學路700號,ATM右側,24小時,120.281174,22.732346,40,三代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
高雄大學學生宿舍ｉ郵箱,81100,高雄市楠梓區高雄大學路700號,學生宿舍1樓,24小時,120.278201,22.735766,40,三代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
楠梓藍田郵局ｉ郵箱,81100,高雄市楠梓區藍昌路430號,ATM自助服務區,24小時,120.292232,22.730347,40,三代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
樹人醫專(2)ｉ郵箱,82100,高雄市路竹區環球路452號,行政大樓1樓,24小時,120.262596,22.883617,27,三代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
高雄郵件中心郵局ｉ郵箱,81300,高雄市左營區民族一路853號,郵局自助服務區內,24小時,120.318444,22.677104,40,三代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
旗山郵局ｉ郵箱,84200,高雄市旗山區延平一路690號,郵局自助服務區內,24小時,120.483003,22.883950,40,三代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
義守大學學生宿舍ｉ郵箱,84000,高雄市大樹區學城路1段1號,第二學生宿舍門口,24小時,120.404405,22.724619,40,三代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺中文心路郵局ｉ郵箱,40600,臺中市北屯區文心路4段752號,ATM自助服務區,24小時,120.688472,24.171592,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
輔英科大ｉ郵箱,83100,高雄市大寮區進學路151號,學生宿舍三宿內左側入口旁,24小時,120.389688,22.602693,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
高雄空中大學ｉ郵箱,81200,高雄市小港區大業北路436號,圖書館入口左側,24小時,120.346388,22.566973,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
台電鳳山智慧綠社區ｉ郵箱,83000,高雄市鳳山區自治街85巷2號,自治街85巷入口右側,24小時,120.350613,22.623315,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
復華中學ｉ郵箱,80200,高雄市苓雅區民權一路42號,入口右側馥華髮型左側牆邊,24小時,120.313393,22.620907,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
鹽埕博愛里辦公室ｉ郵箱,80300,高雄市鹽埕區北端街7巷76-3號,辦公室外門口左側,24小時,120.281035,22.629789,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
苓雅東急文具英明店ｉ郵箱,80200,高雄市苓雅區英祥街28號,右側騎樓,24小時,120.325230,22.617000,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
安南區同安路ｉ郵箱,70900,臺南市安南區同安路237巷1號,大門左側玻璃牆面,24小時,120.192141,23.042664,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
南臺科技大學六宿ｉ郵箱,71000,臺南市永康區南台街1號六宿,公共電話右側牆面,24小時,120.224556,23.021617,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺南南門路郵局ｉ郵箱,70000,臺南市中西區南門路93號,ATM對面,24小時,120.204702,22.988756,50,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
永康東橋里活動中心ｉ郵箱,71000,臺南市永康區東橋十街158號,大門左側牆面,24小時,120.232333,23.022784,50,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺南南紡購物中心ｉ郵箱,70100,臺南市東區中華東路1段366號B1,地下一樓美食街靠近化妝室,11:00-22:00,120.230705,22.991474,60,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺南竹溪里活動中心ｉ郵箱,70200,臺南市南區健康路1段113巷51弄1號,入口右側牆面,24小時,120.209619,22.979324,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺南小北商場ｉ郵箱,70400,臺南市北區西門路4段101號,商場內停車場洗手間旁,24小時,120.204608,23.008145,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
醒吾科大觀餐大樓ｉ郵箱,24400,新北市林口區粉寮路1段101號,觀光餐旅學院側門對面,24小時,121.394837,25.081621,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
林口東湖國小ｉ郵箱,24400,新北市林口區佳林路200號,警衛室旁,24小時,121.382041,25.075908,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
蘆洲郵局2ｉ郵箱,24700,新北市蘆洲區三民路97號,大門右側,24小時,121.473692,25.085027,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
八里龍形郵局ｉ郵箱,24900,新北市八里區龍形二街7號,大門左側,24小時,121.450630,25.131150,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
淡水水碓郵局ｉ郵箱,25100,新北市淡水區大忠街9、11號,大門左側,24小時,121.443310,25.176161,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
平鎮東勢市民活動中心ｉ郵箱,32400,桃園市平鎮區金陵路5段55號,大門左側,24小時,121.231450,24.910463,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
平鎮區調解委員會ｉ郵箱,32400,桃園市平鎮區振興路7號,大門左側,24小時,121.218172,24.945705,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
中壢中山市民活動中心ｉ郵箱,32000,桃園市中壢區榮民路396號,大門右側,24小時,121.261638,24.961785,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
中壢婦幼館ｉ郵箱,32000,桃園市中壢區正大街55號,大門左側,24小時,121.204424,24.959748,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
中壢文化市民活動中心ｉ郵箱,32000,桃園市中壢區長春三路2號,大門右側,24小時,121.249206,24.979423,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺中北屯郵局ｉ郵箱,40600,臺中市北屯區進化北路37-1號,ATM右側,24小時,120.691091,24.162926,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺中水湳郵局ｉ郵箱,40600,臺中市北屯區四平路1號,大門左側,24小時,120.669577,24.177601,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺中四張犁郵局ｉ郵箱,40600,臺中市北屯區豐樂路2段162號,ATM服務區,24小時,120.679835,24.194928,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺中淡溝郵局ｉ郵箱,40400,臺中市北區民權路365號,ATM服務區,24小時,120.670363,24.157193,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
潭子郵局ｉ郵箱,42700,臺中市潭子區潭興路3段42號,ATM服務區左側,24小時,120.703745,24.211772,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
豐原中山路郵局ｉ郵箱,42000,臺中市豐原區大明路12號,大門右側,24小時,120.710814,24.239733,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
豐原南陽郵局ｉ郵箱,42000,臺中市豐原區圓環東路402號,大門左側,24小時,120.724850,24.245364,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
豐原郵局ｉ郵箱,42000,臺中市豐原區豐西街66號,大門左側,24小時,120.712022,24.251684,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
神岡社口郵局ｉ郵箱,42900,臺中市神岡區中山路611號,大門右側,24小時,120.682090,24.246830,50,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺中大葉學苑社區ｉ郵箱,40800,臺中市南屯區大業路560號,社區大廳內,24小時,120.636293,24.153609,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺中中港世紀紅社區ｉ郵箱,40700,臺中市西屯區上明三街26號,C棟大廳,07:00-21:00,120.642384,24.171125,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺中長億金融大樓ｉ郵箱,40700,臺中市西屯區臺灣大道2段910號,後門左側,24小時,120.651900,24.162107,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺中裕國大廈社區ｉ郵箱,40200,臺中市南區南昌街58號,社區大廳內,24小時,120.662540,24.125860,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺北大龍老人住宅ｉ郵箱,10300,臺北市大同區民族西路105號,1樓門口右側,24小時,121.517026,25.068604,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺北市身障服務中心ｉ郵箱,10400,臺北市中山區長安西路5巷2號,室內服務臺右側牆面,08:30~20:00(星期三、五延至22:00),121.520814,25.050437,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺北中山運動中心ｉ郵箱,10400,臺北市中山區中山北路2段44巷2號,側門出入口,06:00~22:00,121.521514,25.054852,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
萬華龍山自助郵局ｉ郵箱,10800,臺北市萬華區廣州街67號,大門右側,24小時,121.502453,25.036623,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
